notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resid,process_code,state,cnty_fips,cnty_name,district_number,rrc,Reg,region_name,play,play_name,drill_depth_ft,lateral_length_ft,API,Sulfur,federal_land,project_royalty_multiplier,std_pattern_size_acres,total_pattern_size_acres,totpat,past_wells,Ninjwell,resacc,NGPL,NGPLET,NGPLPR,NGPLBU,NGPLIS,NGPLPP,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,OP25,OP26,OP27,OP28,OP29,OP30,OP31,OP32,OP33,OP34,OP35,OP36,OP37,OP38,OP39,OP40,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24,GP25,GP26,GP27,GP28,GP29,GP30,GP31,GP32,GP33,GP34,GP35,GP36,GP37,GP38,GP39,GP40,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP20,WP21,WP22,WP23,WP24,WP25,WP26,WP27,WP28,WP29,WP30,WP31,WP32,WP33,WP34,WP35,WP36,WP37,WP38,WP39,WP40,II1,II2,II3,II4,II5,II6,II7,II8,II9,II10,II11,II12,II13,II14,II15,II16,II17,II18,II19,II20,II21,II22,II23,II24,II25,II26,II27,II28,II29,II30,II31,II32,II33,II34,II35,II36,II37,II38,II39,II40,WL1,WL2,WL3,WL4,WL5,WL6,WL7,WL8,WL9,WL10,WL11,WL12,WL13,WL14,WL15,WL16,WL17,WL18,WL19,WL20,WL21,WL22,WL23,WL24,WL25,WL26,WL27,WL28,WL29,WL30,WL31,WL32,WL33,WL34,WL35,WL36,WL37,WL38,WL39,WL40
DGAL650007301,1,AL,73,Jefferson,1,0,2,gulf_coast,6500,black warrior basin,1760.67,1491.113333,42.11269807,2.41,0,0,80,541.7623188,7,0,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5382.19689,4971.06873,4560.82333,4252.57072,4003.06445,3794.56373,3616.76527,3462.86883,3328.09159,3208.92752,3102.72589,3007.43262,2921.42569,2843.39918,2772.28836,2707.21484,2647.44292,2592.35406,2541.42184,2494.19528,2450.28657,2409.35867,2371.11879,2335.3085,2301.70382,2270.10389,2240.33268,2212.23307,2185.66468,2160.50262,2136.63391,2113.95836,2092.38452,2071.82947,2052.21953,2033.48752,2015.57084,1998.41422,1981.9666,1966.18186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650007307,7,AL,73,Jefferson,1,0,2,gulf_coast,6500,black warrior basin,1760.67,1491.113333,42.11269807,2.41,0,0,80,59268.79768,194,547,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13455.49223,12427.67183,11402.05833,10631.4268,10007.66113,9486.409325,9041.913175,8657.172075,8320.228975,8022.3188,7756.814725,7518.58155,7303.564225,7108.49795,6930.7209,6768.0371,6618.6073,6480.88515,6353.5546,6235.4882,6125.716425,6023.396675,5927.796975,5838.27125,5754.25955,5675.259725,5600.8317,5530.582675,5464.1617,5401.25655,5341.584775,5284.8959,5230.9613,5179.573675,5130.548825,5083.7188,5038.9271,4996.03555,4954.9165,4915.45465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650007501,1,AL,75,Lamar,1,0,2,gulf_coast,6500,black warrior basin,4450,1491.113333,42.11269807,2.41,0,0,160,13496.88889,85,0,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.51045,83.95167,70.5707,60.99103,53.79825,48.22667,43.80779,40.23497,37.29808,34.84891,32.77998,31.0119,29.48504,28.15396,26.98341,25.94597,25.01989,24.1877,23.43543,22.75162,22.12693,21.55357,21.02507,20.53605,20.08195,19.65877,19.26329,18.89263,18.54433,18.21617,17.90638,17.61325,17.3354,17.07147,16.82042,16.58117,16.35289,16.13471,15.92591,15.72588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650010701,1,AL,107,Pickens,1,0,2,gulf_coast,6500,black warrior basin,4920.27,1491.113333,42.11269807,2.41,0,0,160,56021.33333,351,0,0,10,0,0.408,0.266,0.107,0.07,0.15,1.10193,0.81401,0.74461,0.69194,0.64996,0.61539,0.58614,0.56104,0.53912,0.51976,0.50252,0.48694,0.47294,0.46007,0.44831,0.43747,0.42743,0.4181,0.4094,0.40125,0.39362,0.38644,0.37966,0.3733,0.36719,0.36144,0.35594,0.35072,0.34576,0.34097,0.33646,0.3321,0.3279,0.3239,0.32003,0.31631,0.31273,0.30928,0.30595,0.30273,435.05507,348.71557,281.18529,234.87005,201.7039,177.22862,158.7028,144.35815,133.01792,123.88122,116.3918,110.15606,104.89109,100.38945,96.49741,93.09859,90.10396,87.44463,85.06592,82.92415,80.98505,79.21939,77.60409,76.11969,74.7499,73.48114,72.30158,71.20154,70.17247,69.20666,68.29844,67.4418,66.63205,65.86492,65.1368,64.44428,63.78436,63.15458,62.55249,61.97612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650012501,1,AL,125,Tuscaloosa,1,0,2,gulf_coast,6500,black warrior basin,1638.24,1491.113333,42.11269807,2.41,1,0.01,100,663.1600969,7,0,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7548.72845,6910.0902,6143.29799,5653.25918,5275.94475,4967.95425,4709.42956,4488.53437,4297.28628,4129.94861,3982.22556,3850.81645,3733.12918,3627.09712,3531.04951,3443.62004,3363.67752,3290.28551,3222.65103,3160.10578,3102.07955,3048.08593,2997.70331,2950.56828,2906.36293,2864.81036,2825.66756,2788.72077,2753.77747,2720.67181,2689.25273,2659.38672,2630.95309,2603.84447,2577.96211,2553.21847,2529.53357,2506.8371,2485.05934,2464.14378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650012507,7,AL,125,Tuscaloosa,1,0,2,gulf_coast,6500,black warrior basin,1638.24,1491.113333,42.11269807,2.41,1,0.01,100,218444.9359,538,1647,4,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18806.47765,17215.6025,15302.22277,14079.71623,13138.43382,12370.08005,11725.1249,11174.04792,10696.93938,10279.48943,9910.981325,9583.180375,9289.619075,9025.140825,8785.576625,8567.5171,8368.13935,8185.1066,8016.439925,7860.471625,7715.778625,7581.1472,7455.525075,7338.005525,7227.795125,7124.20285,7026.62235,6934.5201,6847.415875,6764.895525,6686.58245,6612.1433,6541.27695,6473.715575,6409.212725,6347.5499,6288.527675,6231.970575,6177.7046,6125.58885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650012701,1,AL,127,Walker,1,0,2,gulf_coast,6500,black warrior basin,1434.4,1491.113333,42.11269807,2.41,0,0,80,25.21885856,1,0,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.27206,856.69915,749.07626,678.41984,623.62031,579.1258,542.17912,511.02491,484.43425,461.50477,441.55724,424.06604,408.61976,394.89038,382.61452,371.57826,361.60471,352.54988,344.29279,336.73116,329.78011,323.36712,317.42999,311.91582,306.78008,301.9819,297.48769,293.2683,289.29658,285.55005,282.00843,278.65449,275.47137,272.44589,269.56497,266.81729,264.19345,261.6836,259.27997,256.97526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650012707,7,AL,127,Walker,1,0,2,gulf_coast,6500,black warrior basin,1424.88,1491.113333,42.11269807,2.41,0,0,80,978.4917122,2,194,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2357.132975,2124.697625,1856.684825,1680.828725,1544.4498,1433.72055,1341.7795,1264.25865,1198.099525,1141.056,1091.437175,1047.9342,1009.5226,975.385675,944.86735,917.435075,892.648225,870.148025,849.633475,830.849625,813.58515,797.659525,782.91775,769.2283,756.480175,744.571425,733.4187,722.949475,713.095975,703.8023,695.01795,686.700125,678.80695,671.305425,664.1631,657.35175,650.8481,644.6277,638.671025,632.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650205701,1,AL,57,Fayette,1,0,2,gulf_coast,6502,upper mississippian sandstone,3322.33,1491.113333,42.11269807,2.41,0,0,160,2890.38961,19,0,0,10,0,0.408,0.266,0.107,0.07,0.15,2.50529,2.31031,2.14346,1.99912,1.87298,1.76184,1.66314,1.5749,1.49559,1.42387,1.35872,1.29927,1.24478,1.19471,1.14849,1.10571,1.06605,1.02907,0.9946,0.96239,0.93217,0.90381,0.87711,0.85195,0.82817,0.80569,0.78442,0.76422,0.74505,0.72682,0.70945,0.69291,0.6771,0.66201,0.64758,0.63375,0.6205,0.60781,0.59561,0.58392,229.28796,201.07937,177.01761,161.13693,148.71068,138.51337,129.94329,122.62155,116.28571,110.74462,105.85431,101.50446,97.60846,94.09773,90.91647,88.02015,85.3712,82.93897,80.69761,78.62549,76.70366,74.91661,73.2505,71.6936,70.23565,68.86739,67.5811,66.36981,65.22742,64.14821,63.12731,62.1603,61.243,60.37249,59.5449,58.75737,58.00752,57.29244,56.61036,55.95905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650207501,1,AL,75,Lamar,1,0,2,gulf_coast,6502,upper mississippian sandstone,4165.58,1491.113333,42.11269807,2.41,0,0,160,13496.88889,85,0,0,10,0,0.408,0.266,0.107,0.07,0.15,16.57246,14.42321,13.08119,12.22994,11.6087,11.12362,10.72848,10.39703,10.11279,9.86486,9.64575,9.44977,9.27299,9.11221,8.96504,8.82943,8.70405,8.58739,8.47855,8.37652,8.28068,8.19033,8.10484,8.02399,7.94718,7.87396,7.80431,7.73769,7.67405,7.61301,7.55455,7.49828,7.4442,7.39206,7.34195,7.29344,7.24659,7.20139,7.15757,7.11512,724.38409,595.01162,512.27617,457.20075,417.08187,386.32659,361.93415,342.09889,325.6485,311.78258,299.93318,289.68487,280.72769,272.82564,265.79597,259.49585,253.81106,248.65066,243.94052,239.61962,235.6382,231.95403,228.5322,225.34301,222.3613,219.5649,216.93541,214.45666,212.11439,209.89638,207.79183,205.79072,203.88505,202.06672,200.32949,198.66693,197.07388,195.54501,194.07623,192.66358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
