# Mercury emissions in grams per megawatthour
class,year,hg_grams_mwh,hg_output(1),hg_output(2),hg_output(3),hg_input(1),hg_input(2),hg_input(3),hg_mef(1),hg_mef(2),hg_mef(3)
1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
# Class 2 - New PC Coal Units
2,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
# Class 3 - New IGCC Coal Units
3,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
