FILE NAME:     RSSTK
DATE MODIFIED: December 23, 2025
USED BY:       RDHTREQC subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Physical number of equipment stock for all residential equipment classes (29 major and the rest minor classes)
UNITS:         Number of equipment/appliances/devices in the base year
DIMENSION:     housing type (each column), U.S. census division (each row, 1-9), equipment class (each group of 9 rows)
SPECIAL CONSTRAINTS:  Data starts on row 21 of this file as per RDM convention.
ORGANIZATION OF DATA:
               Variables: EQCESE (for major end uses in RSCLASS),FANEQP,TVSEQP,STBEQP,HTSEQP,OTTEQP,VGCEQP,DPCEQP,LPCEQP,MONEQP,NETEQP,BATEQP,
                CFNEQP,COFEQP,DEHEQP,MCOEQP,PHPEQP,SECEQP,SPAEQP,WCLEQP,SPKEQP,PHNQP,TABEQP,KITEQP,EAEQP,SHTEQP,APPEQP
SOURCES:       2020 RECS microdata (https://www.eia.gov/consumption/residential/data/2020/index.php?view=microdata)
               "Analysis and Representation of Miscellaneous Electric Loads in NEMS": https://www.eia.gov/analysis/studies/demand/miscelectric/
               U.S. Census Bureau Characteristics of New Housing: https://www.census.gov/construction/chars/historical_data/
COMMENT:       Remove kerosene and coal placeholders; move data row labels to end of file for streamlined input reading





SF	MF	MOBILE
31538	6810	0
11015	0	0
74638	39086	0
12965	12424	0
78882	0	0
367238	110698	0
175483	13385	0
111371	0	0
86360	34039	0
133656	19970	18688
3568617	2058663	78691
6785633	7109005	335530
2786227	2979653	283982
1172424	638512	201488
2277992	556680	903460
957225	146200	482887
2724881	403770	1000499
512357	455498	250059
1902790	1729487	388659
1202799	341073	33763
5094984	1375957	99251
10457393	2000517	357583
5150791	958017	201163
12288480	4295010	984216
3734477	887728	400789
8011408	2543672	647493
4571965	1100481	254395
6276075	1446107	271777
28552	61089	0
289472	319627	6245
267470	141082	12781
191347	136234	40078
5040432	1217484	815761
1400298	434019	232682
1434145	876531	235695
566077	228540	33409
528212	248787	77643
9558	0	0
54055	13251	0
190214	0	17684
80742	13051	0
313183	15671	70458
207815	46725	30794
117962	26974	4702
16865	0	0
31538	6810	0
11015	0	0
74638	39086	0
12965	12424	0
78882	0	0
367238	110698	0
175483	13385	0
111371	0	0
86360	34039	0
133656	19970	18688
3542398	887768	128593
9176132	2152770	321684
13223951	1844973	601207
6289515	734062	321465
16599403	3741283	1799366
5191696	815623	702364
9906251	2024380	1036580
6448217	1197365	588894
11671285	2335633	677332
2980874	934904	73119
7419534	2596402	163422
9865652	2391822	221684
4971634	1036148	184628
14277415	4351708	826667
4070168	846328	408983
7834814	2630835	597354
5736330	1448025	290614
9800758	3299615	526420
1258051	1219268	5588
5779410	3503773	45220
9124429	2339565	210446
3970424	795118	92068
5008642	1124593	27222
1833171	224479	28958
5807057	812262	174548
4624930	943913	273067
9046766	2940543	459671
1122927	735699	116520
2775651	2356508	304599
4008435	2123961	379018
2321715	952903	248177
12308621	4614332	1934389
3812947	1012584	723226
5170392	2525566	922179
2003434	1014978	294310
3151904	2742918	289238
1043304	126546	2185
822641	445291	0
38953	44479	0
799	0	0
61329	10611	0
0	0	0
4814	16331	0
0	24598	0
32679	5527	10895
266658	69935	15806
453523	42184	13267
636540	26103	59448
380692	4745	8493
566724	21185	38026
176129	11933	30889
504318	55908	29328
246778	33162	106413
444369	56881	62579
19287	3892	0
6102	24535	0
29471	10661	0
0	1150	0
35425	13311	0
0	0	0
0	0	0
24500	0	0
102265	35417	0
1182489	828370	13432
5645969	4033134	109713
7247946	1884723	297041
2009559	263864	132937
4450724	1052919	196848
1129441	155404	94197
5288367	373188	301777
2961823	365604	344297
8781503	2492679	520275
525395	53893	47866
844189	69360	108481
696776	0	98471
410063	0	49008
903555	19498	191760
274521	0	86558
587743	10689	92756
215746	0	126319
610740	96332	63529
3065551	1339578	86259
5906957	2459090	157853
8953041	2914102	238677
5669966	1520595	204972
17134372	5131700	1791024
5537212	1156318	653663
9165903	3282428	796284
5743197	1711805	256952
7646170	3423420	400750
469975	83303	3316
3016218	483868	32971
4187307	440698	60480
1056116	18162	11989
848197	116422	4625
212779	0	15499
1275204	84418	49920
1074148	118305	25578
4628918	378745	196321
2918963	726768	119183
5782040	1470059	252834
8591692	1342258	484661
5115863	721983	302437
15460647	3586410	1751393
4909824	794495	680481
8350534	1943391	925925
5278873	1067099	514502
6800385	1839634	475614
5453667	2394664	163126
15465420	6743027	440440
21380239	4767540	792921
10454152	1853520	452371
26608164	6246028	2449623
8274425	1294012	1008942
15805618	3577705	1501767
10477079	2141661	890310
19288279	5885345	1033962
1288617	288696	45574
4088150	557171	172281
7368022	656048	262034
4552789	234451	231671
6892998	555034	812972
3108278	113033	412469
5057292	457298	514209
3221472	159686	280553
4424517	413407	314975
3364344	1589291	125584
8973327	4826723	332883
13203824	3485476	609068
6135585	1467924	319265
16383246	5266126	1727247
5060654	1111437	654483
9385100	2936248	901834
6164856	1597960	512008
9901584	2591898	588178
8789342	3571712	292283
25043336	9965844	702021
34676941	7077126	1388640
16430010	2779960	825520
45237528	10053566	4343826
13957922	2220220	1740647
27186473	5826072	2645785
16065518	3162122	1339131
27280977	8367130	1745033
5555611	1380520	180418
16358721	5337413	358186
17413298	3001578	548458
7711327	974519	466465
25058606	4987840	2319990
7568140	814334	833377
14764507	1844245	1320421
7741564	1207801	597580
16263463	3600836	957938
1213943	452348	30408
2752379	1367128	58025
4455352	796372	129387
2060166	259140	67356
5935186	1050718	349971
1515241	118275	179432
3612619	543817	271281
2569295	413714	174682
4384242	1199561	192939
4154353	1829252	102962
10714573	4479488	290105
15445779	3596194	448447
7745780	1375308	233715
21709228	5286056	1757020
6091768	1225060	579631
12277604	3239470	994003
7903564	1571330	530814
13131017	4593988	714249
1721902	1030248	38268
4886010	2233168	175076
7596168	1742224	268907
3251309	605710	97892
8742076	1781406	947505
2476754	477186	371533
5487556	1505305	680782
3903280	948854	311007
5750294	2543670	504250
2214757	649235	41902
6053454	2093026	162984
7505455	1469167	223334
3606368	467872	133701
9943625	1887054	647661
2797589	285881	170827
5643177	1203127	353526
4439823	671669	282586
8925482	2299403	360691
6148461	2779292	114047
14532264	7739940	326118
19145221	4716550	305356
8511486	1717675	288008
26296916	6494592	1871027
6443810	1169265	732806
14478221	3520923	1118499
10288646	2403677	567174
20080461	7378190	830579
2359705	751186	75796
7972649	3127002	298921
9828800	1399668	294689
4677941	516406	194132
12693513	2118360	1025954
2917386	488336	306739
6496023	1061360	574781
4919705	976860	283311
9629592	2281807	353322
4364106	2267098	132939
11872664	6631355	498814
16110058	4752073	670245
7835456	1717100	301720
19518311	5865571	2008175
5567397	1154026	777673
11083371	3019490	1151292
7555969	1784767	575316
14902249	6147296	735470
25617473	8274440	1525115
56036334	37992695	2845680
102546384	20644600	6705052
41523964	7449224	2006118
118529418	32515038	18401456
43524046	8733063	10027011
68768846	16334288	5850603
45347304	16641509	6818545
82697687	36022100	8805867
6296113	1344575	188923
21132892	3288445	586815
33948773	3556086	908873
16911305	1518615	497591
57416662	7288643	3791414
17152413	1532637	1566640
38337086	5403357	2508820
18662615	1828696	1084703
24411039	3589969	811420
2996378	1406044	114184
7676853	3631584	330526
11063559	2877081	482439
5238086	1116850	252717
13792941	3658910	1380419
4307168	814915	597878
8114331	2049460	780894
5023597	1238750	515784
9180704	3239988	604322
1750514	157177	21807
4410670	379804	21558
5488545	175417	55146
2119324	54777	29737
2751345	294282	87666
705429	61234	76876
541610	37305	58312
167198	70519	21169
633178	287102	84076
3733548	2056024	140099
9848519	5588575	361899
14067088	4243887	594404
6668689	1693810	344915
17603409	5500746	2000410
5538652	1178640	766991
10468178	3133488	1110424
6816918	1838346	669535
12396634	5201924	802087
371921	0	5173
1149686	0	0
869240	0	40925
238224	0	8161
2340584	0	57854
510866	0	63877
930376	0	49499
762431	0	4809
1112908	0	4231
42231	0	0
74542	0	0
84081	0	0
17950	0	0
440057	0	0
31088	0	13569
53736	0	0
42010	0	0
47700	0	0
952116	131406	8432
2498613	383008	23703
3588059	281261	41283
1705894	109020	22995
4390804	351179	130880
1414844	78829	52435
2630005	198448	71213
1646405	119141	42696
3200148	350132	51371
148741	8446	0
458413	21769	0
552624	68088	5496
236576	13424	2107
755808	59016	43751
198613	16034	23734
336887	13489	47248
425991	60084	11325
794748	71308	32122
188045	39079	0
580518	173850	0
696269	90914	8739
227104	39847	0
947149	150690	28685
198288	0	0
665866	82552	6198
446137	9243	2400
1024998	68607	13022
3018092	884807	33009
7323766	3088974	177170
8952745	1619927	202356
4006176	626088	66337
13714627	2939764	507720
2870460	520116	257683
6718693	1301132	426930
5811689	1017758	296388
9277341	2536300	491398
7642468	3725192	165255
19440734	10117867	641950
26734094	6783664	957309
12495954	2558961	582125
35574138	8953685	3294780
10145805	1844966	1547322
21827460	5731070	2372876
14009827	3287088	1096456
27949601	9947370	1457191
4513137	1787717	112909
10992933	4613017	203505
15082014	2896840	425532
6954332	1093267	245482
19288032	3906983	1422070
5208293	767511	551533
10918475	2037487	1030628
7819386	1337983	569232
15436800	4599867	739311
7178875	3845547	246568
18408014	10425896	692443
25526226	7184617	1069866
11823163	2777566	571685
32748363	9672733	3436577
9459283	2109514	1319178
20396802	5234468	2291214
13836780	3279506	1380746
26432199	10676563	1554548
3637502	2098565	140099
9541561	6144683	357259
13498851	4422986	625075
6417005	1730073	348737
17169669	5673955	1999637
5361237	1248996	770484
10231867	3267791	1119436
6559193	1989740	668981
12101984	5600868	802791
126507	40077	0
763487	73998	11816
1115186	65465	17656
699585	51829	1914
1032255	54557	33541
526175	10859	18363
892670	0	18719
845008	44070	23237
1281042	105302	27300
1002914	527054	48338
2847231	1390673	100767
4038779	737901	253710
2144208	357662	102063
4708060	738045	605541
1666952	228775	215415
2569964	497045	267711
1683928	414561	224308
3065260	910886	219975
58749	13218	4198
135307	0	0
87848	0	6244
6826	0	0
78114	0	19557
34868	0	12669
0	0	0
4536	0	0
13437	0	0
156989	2914	3099
289063	45451	23901
297888	0	12016
197924	13539	0
881124	0	103415
373318	0	55630
218032	0	24421
85877	14710	3542
206334	0	0
714692	48222	17483
992780	12181	14698
1049493	97939	18452
523098	10421	7154
1308337	44711	96252
410601	40776	76271
1075011	104165	80680
624738	46265	44262
1221459	112475	36186
239363	102031	2576
1224649	494122	17980
1472323	125223	53500
440180	49880	29964
1279625	210704	36799
422033	38906	27518
1568076	80319	40913
1047773	58578	48798
1974636	301522	9908
251485	17977	7177
399744	37873	40158
442195	0	33218
187286	12700	12990
378202	17413	89622
101289	0	32631
231423	0	22200
73582	0	45469
298651	34623	27649
203721	50788	6783
241943	99909	0
55440	0	0
0	0	0
28788	0	7867
11674	0	12699
0	0	0
2268	0	0
1286	0	0

================================================================
<EQUIPMENT CLASS DESCRIPTION>	<EQUIPMENT CLASS INDEX>	<CD>
Electric Heating Other Than Heat Pumps	1	1
Electric Heating Other Than Heat Pumps	1	2
Electric Heating Other Than Heat Pumps	1	3
Electric Heating Other Than Heat Pumps	1	4
Electric Heating Other Than Heat Pumps	1	5
Electric Heating Other Than Heat Pumps	1	6
Electric Heating Other Than Heat Pumps	1	7
Electric Heating Other Than Heat Pumps	1	8
Electric Heating Other Than Heat Pumps	1	9
Air-Source Heat Pumps (heating)	2	1
Air-Source Heat Pumps (heating)	2	2
Air-Source Heat Pumps (heating)	2	3
Air-Source Heat Pumps (heating)	2	4
Air-Source Heat Pumps (heating)	2	5
Air-Source Heat Pumps (heating)	2	6
Air-Source Heat Pumps (heating)	2	7
Air-Source Heat Pumps (heating)	2	8
Air-Source Heat Pumps (heating)	2	9
Natural Gas Furnaces	3	1
Natural Gas Furnaces	3	2
Natural Gas Furnaces	3	3
Natural Gas Furnaces	3	4
Natural Gas Furnaces	3	5
Natural Gas Furnaces	3	6
Natural Gas Furnaces	3	7
Natural Gas Furnaces	3	8
Natural Gas Furnaces	3	9
Natural Gas Boilers & Other	4	1
Natural Gas Boilers & Other	4	2
Natural Gas Boilers & Other	4	3
Natural Gas Boilers & Other	4	4
Natural Gas Boilers & Other	4	5
Natural Gas Boilers & Other	4	6
Natural Gas Boilers & Other	4	7
Natural Gas Boilers & Other	4	8
Natural Gas Boilers & Other	4	9
Propane Furnaces & Other	5	1
Propane Furnaces & Other	5	2
Propane Furnaces & Other	5	3
Propane Furnaces & Other	5	4
Propane Furnaces & Other	5	5
Propane Furnaces & Other	5	6
Propane Furnaces & Other	5	7
Propane Furnaces & Other	5	8
Propane Furnaces & Other	5	9
Distillate Fuel Oil & Kerosene Furnaces	6	1
Distillate Fuel Oil & Kerosene Furnaces	6	2
Distillate Fuel Oil & Kerosene Furnaces	6	3
Distillate Fuel Oil & Kerosene Furnaces	6	4
Distillate Fuel Oil & Kerosene Furnaces	6	5
Distillate Fuel Oil & Kerosene Furnaces	6	6
Distillate Fuel Oil & Kerosene Furnaces	6	7
Distillate Fuel Oil & Kerosene Furnaces	6	8
Distillate Fuel Oil & Kerosene Furnaces	6	9
Distillate Fuel Oil & Kerosene Boilers & Other	7	1
Distillate Fuel Oil & Kerosene Boilers & Other	7	2
Distillate Fuel Oil & Kerosene Boilers & Other	7	3
Distillate Fuel Oil & Kerosene Boilers & Other	7	4
Distillate Fuel Oil & Kerosene Boilers & Other	7	5
Distillate Fuel Oil & Kerosene Boilers & Other	7	6
Distillate Fuel Oil & Kerosene Boilers & Other	7	7
Distillate Fuel Oil & Kerosene Boilers & Other	7	8
Distillate Fuel Oil & Kerosene Boilers & Other	7	9
Wood Stoves & Other	8	1
Wood Stoves & Other	8	2
Wood Stoves & Other	8	3
Wood Stoves & Other	8	4
Wood Stoves & Other	8	5
Wood Stoves & Other	8	6
Wood Stoves & Other	8	7
Wood Stoves & Other	8	8
Wood Stoves & Other	8	9
Ground-Source Heat Pumps (heating)	9	1
Ground-Source Heat Pumps (heating)	9	2
Ground-Source Heat Pumps (heating)	9	3
Ground-Source Heat Pumps (heating)	9	4
Ground-Source Heat Pumps (heating)	9	5
Ground-Source Heat Pumps (heating)	9	6
Ground-Source Heat Pumps (heating)	9	7
Ground-Source Heat Pumps (heating)	9	8
Ground-Source Heat Pumps (heating)	9	9
Natural Gas Heat Pumps (heating)	10	1
Natural Gas Heat Pumps (heating)	10	2
Natural Gas Heat Pumps (heating)	10	3
Natural Gas Heat Pumps (heating)	10	4
Natural Gas Heat Pumps (heating)	10	5
Natural Gas Heat Pumps (heating)	10	6
Natural Gas Heat Pumps (heating)	10	7
Natural Gas Heat Pumps (heating)	10	8
Natural Gas Heat Pumps (heating)	10	9
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	1
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	2
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	3
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	4
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	5
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	6
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	7
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	8
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	9
Central Air Conditioners	12	1
Central Air Conditioners	12	2
Central Air Conditioners	12	3
Central Air Conditioners	12	4
Central Air Conditioners	12	5
Central Air Conditioners	12	6
Central Air Conditioners	12	7
Central Air Conditioners	12	8
Central Air Conditioners	12	9
Air-Source Heat Pumps (cooling)	13	1
Air-Source Heat Pumps (cooling)	13	2
Air-Source Heat Pumps (cooling)	13	3
Air-Source Heat Pumps (cooling)	13	4
Air-Source Heat Pumps (cooling)	13	5
Air-Source Heat Pumps (cooling)	13	6
Air-Source Heat Pumps (cooling)	13	7
Air-Source Heat Pumps (cooling)	13	8
Air-Source Heat Pumps (cooling)	13	9
Ground-Source Heat Pumps (cooling)	14	1
Ground-Source Heat Pumps (cooling)	14	2
Ground-Source Heat Pumps (cooling)	14	3
Ground-Source Heat Pumps (cooling)	14	4
Ground-Source Heat Pumps (cooling)	14	5
Ground-Source Heat Pumps (cooling)	14	6
Ground-Source Heat Pumps (cooling)	14	7
Ground-Source Heat Pumps (cooling)	14	8
Ground-Source Heat Pumps (cooling)	14	9
Natural Gas Heat Pumps (cooling)	15	1
Natural Gas Heat Pumps (cooling)	15	2
Natural Gas Heat Pumps (cooling)	15	3
Natural Gas Heat Pumps (cooling)	15	4
Natural Gas Heat Pumps (cooling)	15	5
Natural Gas Heat Pumps (cooling)	15	6
Natural Gas Heat Pumps (cooling)	15	7
Natural Gas Heat Pumps (cooling)	15	8
Natural Gas Heat Pumps (cooling)	15	9
Clothes Washers	16	1
Clothes Washers	16	2
Clothes Washers	16	3
Clothes Washers	16	4
Clothes Washers	16	5
Clothes Washers	16	6
Clothes Washers	16	7
Clothes Washers	16	8
Clothes Washers	16	9
Dishwashers	17	1
Dishwashers	17	2
Dishwashers	17	3
Dishwashers	17	4
Dishwashers	17	5
Dishwashers	17	6
Dishwashers	17	7
Dishwashers	17	8
Dishwashers	17	9
Natural Gas water heaters (storage & tankless)	18	1
Natural Gas water heaters (storage & tankless)	18	2
Natural Gas water heaters (storage & tankless)	18	3
Natural Gas water heaters (storage & tankless)	18	4
Natural Gas water heaters (storage & tankless)	18	5
Natural Gas water heaters (storage & tankless)	18	6
Natural Gas water heaters (storage & tankless)	18	7
Natural Gas water heaters (storage & tankless)	18	8
Natural Gas water heaters (storage & tankless)	18	9
Electric water heaters (storage & tankless)	19	1
Electric water heaters (storage & tankless)	19	2
Electric water heaters (storage & tankless)	19	3
Electric water heaters (storage & tankless)	19	4
Electric water heaters (storage & tankless)	19	5
Electric water heaters (storage & tankless)	19	6
Electric water heaters (storage & tankless)	19	7
Electric water heaters (storage & tankless)	19	8
Electric water heaters (storage & tankless)	19	9
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	1
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	2
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	3
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	4
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	5
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	6
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	7
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	8
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	9
Propane water heaters (storage & tankless)	21	1
Propane water heaters (storage & tankless)	21	2
Propane water heaters (storage & tankless)	21	3
Propane water heaters (storage & tankless)	21	4
Propane water heaters (storage & tankless)	21	5
Propane water heaters (storage & tankless)	21	6
Propane water heaters (storage & tankless)	21	7
Propane water heaters (storage & tankless)	21	8
Propane water heaters (storage & tankless)	21	9
Solar water heaters (storage & tankless)	22	1
Solar water heaters (storage & tankless)	22	2
Solar water heaters (storage & tankless)	22	3
Solar water heaters (storage & tankless)	22	4
Solar water heaters (storage & tankless)	22	5
Solar water heaters (storage & tankless)	22	6
Solar water heaters (storage & tankless)	22	7
Solar water heaters (storage & tankless)	22	8
Solar water heaters (storage & tankless)	22	9
Natural Gas Cooking Ranges/Cooktops/Ovens	23	1
Natural Gas Cooking Ranges/Cooktops/Ovens	23	2
Natural Gas Cooking Ranges/Cooktops/Ovens	23	3
Natural Gas Cooking Ranges/Cooktops/Ovens	23	4
Natural Gas Cooking Ranges/Cooktops/Ovens	23	5
Natural Gas Cooking Ranges/Cooktops/Ovens	23	6
Natural Gas Cooking Ranges/Cooktops/Ovens	23	7
Natural Gas Cooking Ranges/Cooktops/Ovens	23	8
Natural Gas Cooking Ranges/Cooktops/Ovens	23	9
Propane Cooking Ranges/Cooktops/Ovens	24	1
Propane Cooking Ranges/Cooktops/Ovens	24	2
Propane Cooking Ranges/Cooktops/Ovens	24	3
Propane Cooking Ranges/Cooktops/Ovens	24	4
Propane Cooking Ranges/Cooktops/Ovens	24	5
Propane Cooking Ranges/Cooktops/Ovens	24	6
Propane Cooking Ranges/Cooktops/Ovens	24	7
Propane Cooking Ranges/Cooktops/Ovens	24	8
Propane Cooking Ranges/Cooktops/Ovens	24	9
Electric Cooking Ranges/Cooktops/Ovens	25	1
Electric Cooking Ranges/Cooktops/Ovens	25	2
Electric Cooking Ranges/Cooktops/Ovens	25	3
Electric Cooking Ranges/Cooktops/Ovens	25	4
Electric Cooking Ranges/Cooktops/Ovens	25	5
Electric Cooking Ranges/Cooktops/Ovens	25	6
Electric Cooking Ranges/Cooktops/Ovens	25	7
Electric Cooking Ranges/Cooktops/Ovens	25	8
Electric Cooking Ranges/Cooktops/Ovens	25	9
Natural Gas Clothes Dryers	26	1
Natural Gas Clothes Dryers	26	2
Natural Gas Clothes Dryers	26	3
Natural Gas Clothes Dryers	26	4
Natural Gas Clothes Dryers	26	5
Natural Gas Clothes Dryers	26	6
Natural Gas Clothes Dryers	26	7
Natural Gas Clothes Dryers	26	8
Natural Gas Clothes Dryers	26	9
Electric Clothes Dryers	27	1
Electric Clothes Dryers	27	2
Electric Clothes Dryers	27	3
Electric Clothes Dryers	27	4
Electric Clothes Dryers	27	5
Electric Clothes Dryers	27	6
Electric Clothes Dryers	27	7
Electric Clothes Dryers	27	8
Electric Clothes Dryers	27	9
Refrigerators	28	1
Refrigerators	28	2
Refrigerators	28	3
Refrigerators	28	4
Refrigerators	28	5
Refrigerators	28	6
Refrigerators	28	7
Refrigerators	28	8
Refrigerators	28	9
Standalone Freezers	29	1
Standalone Freezers	29	2
Standalone Freezers	29	3
Standalone Freezers	29	4
Standalone Freezers	29	5
Standalone Freezers	29	6
Standalone Freezers	29	7
Standalone Freezers	29	8
Standalone Freezers	29	9
Furnace Fans & Boiler Pumps	30	1
Furnace Fans & Boiler Pumps	30	2
Furnace Fans & Boiler Pumps	30	3
Furnace Fans & Boiler Pumps	30	4
Furnace Fans & Boiler Pumps	30	5
Furnace Fans & Boiler Pumps	30	6
Furnace Fans & Boiler Pumps	30	7
Furnace Fans & Boiler Pumps	30	8
Furnace Fans & Boiler Pumps	30	9
Televisions	31	1
Televisions	31	2
Televisions	31	3
Televisions	31	4
Televisions	31	5
Televisions	31	6
Televisions	31	7
Televisions	31	8
Televisions	31	9
Set-top Boxes	32	1
Set-top Boxes	32	2
Set-top Boxes	32	3
Set-top Boxes	32	4
Set-top Boxes	32	5
Set-top Boxes	32	6
Set-top Boxes	32	7
Set-top Boxes	32	8
Set-top Boxes	32	9
Home Audio Equipment	33	1
Home Audio Equipment	33	2
Home Audio Equipment	33	3
Home Audio Equipment	33	4
Home Audio Equipment	33	5
Home Audio Equipment	33	6
Home Audio Equipment	33	7
Home Audio Equipment	33	8
Home Audio Equipment	33	9
OTT Streaming Devices	34	1
OTT Streaming Devices	34	2
OTT Streaming Devices	34	3
OTT Streaming Devices	34	4
OTT Streaming Devices	34	5
OTT Streaming Devices	34	6
OTT Streaming Devices	34	7
OTT Streaming Devices	34	8
OTT Streaming Devices	34	9
Video Game Consoles	35	1
Video Game Consoles	35	2
Video Game Consoles	35	3
Video Game Consoles	35	4
Video Game Consoles	35	5
Video Game Consoles	35	6
Video Game Consoles	35	7
Video Game Consoles	35	8
Video Game Consoles	35	9
Desktop PCs	36	1
Desktop PCs	36	2
Desktop PCs	36	3
Desktop PCs	36	4
Desktop PCs	36	5
Desktop PCs	36	6
Desktop PCs	36	7
Desktop PCs	36	8
Desktop PCs	36	9
Laptop PCs	37	1
Laptop PCs	37	2
Laptop PCs	37	3
Laptop PCs	37	4
Laptop PCs	37	5
Laptop PCs	37	6
Laptop PCs	37	7
Laptop PCs	37	8
Laptop PCs	37	9
Monitors	38	1
Monitors	38	2
Monitors	38	3
Monitors	38	4
Monitors	38	5
Monitors	38	6
Monitors	38	7
Monitors	38	8
Monitors	38	9
Network Equipment	39	1
Network Equipment	39	2
Network Equipment	39	3
Network Equipment	39	4
Network Equipment	39	5
Network Equipment	39	6
Network Equipment	39	7
Network Equipment	39	8
Network Equipment	39	9
Non-PC Rechargables	40	1
Non-PC Rechargables	40	2
Non-PC Rechargables	40	3
Non-PC Rechargables	40	4
Non-PC Rechargables	40	5
Non-PC Rechargables	40	6
Non-PC Rechargables	40	7
Non-PC Rechargables	40	8
Non-PC Rechargables	40	9
Ceiling Fans	41	1
Ceiling Fans	41	2
Ceiling Fans	41	3
Ceiling Fans	41	4
Ceiling Fans	41	5
Ceiling Fans	41	6
Ceiling Fans	41	7
Ceiling Fans	41	8
Ceiling Fans	41	9
Coffee Makers	42	1
Coffee Makers	42	2
Coffee Makers	42	3
Coffee Makers	42	4
Coffee Makers	42	5
Coffee Makers	42	6
Coffee Makers	42	7
Coffee Makers	42	8
Coffee Makers	42	9
Dehumidifiers	43	1
Dehumidifiers	43	2
Dehumidifiers	43	3
Dehumidifiers	43	4
Dehumidifiers	43	5
Dehumidifiers	43	6
Dehumidifiers	43	7
Dehumidifiers	43	8
Dehumidifiers	43	9
Microwave Ovens	44	1
Microwave Ovens	44	2
Microwave Ovens	44	3
Microwave Ovens	44	4
Microwave Ovens	44	5
Microwave Ovens	44	6
Microwave Ovens	44	7
Microwave Ovens	44	8
Microwave Ovens	44	9
Pool Pump	45	1
