Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module,CVTAB ID,Variables_in_Group,Group_Name,Weight_Class_Name,Weight_Class,Weight_Start
QRLTR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QRLIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QRLRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QRLEL,0.01,10,0.8,0,1,Q,NA,EMM,,,,,,
QRHTR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QRHEL,0.01,10,0.8,0,1,Q,NA,EMM,,,,,,
QRSCM,0.01,10,1,-1,1,Q,NA,CDM,5,QRSCM QRSTR QRSIN,Residual Fuel Demand,End-Use Quantity,1,24.5
QRSTR,0.01,10,1,-1,1,Q,NA,TDM,5,QRSCM QRSTR QRSIN,Residual Fuel Demand,End-Use Quantity,1,24.5
QRSIN,0.01,10,1,-1,1,Q,NA,IDM,5,QRSCM QRSTR QRSIN,Residual Fuel Demand,End-Use Quantity,1,24.5
QRSRF,0.01,10,1,-1,1,Q,NA,LFMM,,,,,,
QRSEL,0.01,10,0.8,-1,1,Q,NA,EMM,12,QRSEL,Residual Fuel,Electricity Quantity,2,24.5
QPFIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QSGIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QSGRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QPCIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QPCRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QPCEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QASIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QOTTR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QOTIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QOTRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QTPRS,0.01,10,1,-1,1,Q,NA,RDM,,,,,,
QTPCM,0.01,10,1,-1,1,Q,NA,CDM,,,,,,
QTPTR,0.01,10,1,-1,1,Q,NA,TDM,,,,,,
QTPIN,0.01,10,1,-1,1,Q,NA,IDM,,,,,,
QTPRF,0.01,10,1,-1,1,Q,NA,LFMM,,,,,,
QTPEL,0.01,10,1,-1,1,Q,NA,EMM,,,,,,
QMETR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QETTR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QETHM,0.01,10,1,0,1,Q,NA,HYDROGEN,,,,,,
QHYTR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QUREL,0.01,10,1,0,1,Q,NA,EMM,49,QUREL,Uranium,Electricity Quantity,2,24.5
QURHM,0.01,10,1,0,1,Q,NA,HYDROGEN,,,,,,
QHOIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QHOEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QGERS,0.01,10,1,0,1,Q,NA,RDM,,,,,,
QGEIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QGEEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QBMRS,0.01,10,1,0,1,Q,NA,RDM,,,,,,
QBMCM,0.01,10,1,0,1,Q,NA,CDM,,,,,,
QBMIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QBMRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QBMEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QBMHM,0.01,10,1,0,1,Q,NA,HYDROGEN,,,,,,
QMSIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QMSEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QSTRS,0.01,10,1,0,1,Q,NA,RDM,,,,,,
QSTCM,0.01,10,1,0,1,Q,NA,CDM,,,,,,
QSTIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QSTEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QPVRS,0.01,10,1,0,1,Q,NA,RDM,,,,,,
QPVCM,0.01,10,1,0,1,Q,NA,CDM,,,,,,
QPVIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QPVEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QWIIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QWIEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QTRRS,0.01,10,1,-1,1,Q,NA,RDM,,,,,,
QTRCM,0.01,10,1,-1,1,Q,NA,CDM,,,,,,
QTRTR,0.01,10,1,-1,1,Q,NA,TDM,,,,,,
QTRIN,0.01,10,1,-1,1,Q,NA,IDM,,,,,,
QTREL,0.01,10,1,-1,1,Q,NA,EMM,,,,,,
QTRHM,0.01,10,1,-1,1,Q,NA,HYDROGEN,,,,,,
QEIEL,0.01,10,1,0,1,Q,NA,EMM,,,,,,
QCIIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QTSRS,0.01,10,1,-1,1,Q,NA,RDM,9,QTSRS QTSCM QTSTR QTSIN,Total Sector Fuel,No class,0,0
QTSCM,0.01,10,1,-1,1,Q,NA,CDM,9,QTSRS QTSCM QTSTR QTSIN,Total Sector Fuel,No class,0,0
QTSTR,0.01,10,1,-1,1,Q,NA,TDM,9,QTSRS QTSCM QTSTR QTSIN,Total Sector Fuel,No class,0,0
QTSIN,0.01,10,1,-1,1,Q,NA,IDM,9,QTSRS QTSCM QTSTR QTSIN,Total Sector Fuel,No class,0,0
QTSRF,0.01,10,1,-1,1,Q,NA,LFMM,,,,,,
QTSEL,0.01,10,1,-1,1,Q,NA,EMM,50,QTSEL,Total Electricity Sector,No class,0,0
QTSHM,0.01,10,1,-1,1,Q,NA,HYDROGEN,,,,,,
QTSAS,0.01,10,1,8,0,Q,NA,,51,QTSAS,"Total Primary Fuel, all Sectors",No class,0,0
QH1TR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QH2TR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QH3TR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QH2IN,0.05,20,0.666,0,1,Q,NA,IDM,,,,,,
QH2INPF,0.05,20,0.666,0,1,Q,NA,IDM,,,,,,
QH2INHP,0.05,20,0.666,0,1,Q,NA,IDM,,,,,,
