!___________________________________________________________________________________________
!
!                               NGMM Texas Inputs
!
!___________________________________________________________________________________________
!
!       1.  Texas specific parameters
!       2.  Texas subsets of data found in ngassumptions.txt
!	3.  Texas subsets of data found in ngeia.txt
!
!___________________________________________________________________________________________
!
!	Identifiers/inputs in ngtexas.txt
!
!	TXRegion_West
!	TXRegion_North
!	TXReion_East
!	TXRegion_
!	TXBrderCrossings_
!
!	TexasConsShares
!	TexasStorageShares
!	TX_ExportShares
!
!	HistoricalFlowAnnual	(merged with data in ngeia via AIMMS)
!	HistoricalExports	(merged with data in ngeia via AIMMS)
!	HistoricalImports 	(merged with data in ngeia via AIMMS)
!	HistoricalExportsPrice  (merged with data in ngeia via AIMMS)
!	HistoricalImportsPrice  (merged with data in ngeia via AIMMS)
!	PipeFuelLossFactorIN	(merged with data in ngassumptions via AIMMS)
!	PipeFuelLossFactorOUT	(merged with data in ngassumptions via AIMMS)
!	WeatherFactor1 		(merged with data in ngassumptions via AIMMS)
!	HistoricalSpotPrice     (merged with data in ngsporprc via AIMMS)
!
!___________________________________________________________________________________________

!Regional declarations
!Probably move to ngsetmap.txt when ready
TXRegion_West := 'TX_W';
TXRegion_North := 'TX_N';
TXRegion_East := 'TX_E';
TXRegion_ := {TX_W, TX_N, TX_E};
TXBorderCrossings_ := {TX_E-MX_NE, TX_W-MX_NE, TX_E-MX_SS};

!Most of these outputs are copied/pasted information from this folder:
!NGMM_preprocessing\texas\outputs

! SYK	7/19/23	 Updating from results of tx_process_elec.py
! Residential, Commercial, Industrial, and Electric share splits by region
Composite Table:
state     	sec              TexasConsShares
TX_W     	Residential      0.153358
TX_N      	Residential      0.41801
TX_E      	Residential      0.428205
TX_W      	Commercial       0.167184
TX_N     	Commercial       0.487569
TX_E      	Commercial       0.344993
TX_W		Electric	 0.054
TX_N		Electric	 0.209
TX_E		Electric	 0.737
TX_W		Industrial	 0.0421
TX_N		Industrial	 0.0666
TX_E		Industrial	 0.8913
;

! SYK	7/20/23	 Updated storage shares
Composite Table:
storage    TexasStorageShares
TX_W       0.019746
TX_N       0.156478
TX_E       0.823776
;

! 2011 regional shares to split pre-2011 history of Texas Trade. (Done in AIMMS)
! From \\fs-f3\OEA\PNGBA\_NGMT\NGMM\shared\Texas_data\preprocessing\outputs\TX_Export_Shares.txt
Composite Table:
tx_bx		TX_ExportShares
TX_E-MX_NE 	0.71
TX_W-MX_NE 	0.29
;


! SYK	7/20/23   Updated after running Texas pre-processor.
! SYK	7/9/24   Updated after running Texas pre-processor.
Composite Table:
reg        reg1            year        HistoricalFlowAnnual
MX_NE      MX_NE-TX_E      2015        0.933
MX_NE      MX_NE-TX_E      2016        0.748
MX_NE      MX_NE-TX_E      2017        0.591
MX_NE      MX_NE-TX_E      2018        0.503
MX_NE      MX_NE-TX_E      2019        1.071
MX_NE      MX_NE-TX_E      2020        0.369
MX_NE      MX_NE-TX_E      2021        0.299
MX_NE      MX_NE-TX_E      2022        0.277
MX_NE      MX_NE-TX_E      2023        0.258
NM         TX_W            1990        43.37
NM         TX_W            1991        54.691
NM         TX_W            1992        81.093
NM         TX_W            1993        92.309
NM         TX_W            1994        182.912
NM         TX_W            1995        476.43
NM         TX_W            1996        568.446
NM         TX_W            1997        471.549
NM         TX_W            1998        389.821
NM         TX_W            1999        372.845
NM         TX_W            2000        255.43
NM         TX_W            2001        316.344
NM         TX_W            2002        528.568
NM         TX_W            2003        517.599
NM         TX_W            2004        493.136
NM         TX_W            2005        510.995
NM         TX_W            2006        457.875
NM         TX_W            2007        294.545
NM         TX_W            2008        217.791
NM         TX_W            2009        150.39
NM         TX_W            2010        281.881
NM         TX_W            2011        243.327
NM         TX_W            2012        225.623
NM         TX_W            2013        244.938
NM         TX_W            2014        217.569
NM         TX_W            2015        216.04
NM         TX_W            2016        270.49
NM         TX_W            2017        280.575
NM         TX_W            2018        316.877
NM         TX_W            2019        319.828
NM         TX_W            2020        497.771
NM         TX_W            2021        546.098
NM         TX_W            2022        569.525
OK         TX_N            1990        0
OK         TX_N            1994        0
OK         TX_N            1995        0
OK         TX_N            1996        0
OK         TX_N            1997        0
OK         TX_N            1998        0
OK         TX_N            1999        0
OK         TX_N            2000        0
OK         TX_N            2001        0
OK         TX_N            2002        0
OK         TX_N            2003        0
OK         TX_N            2004        0
OK         TX_N            2005        0
OK         TX_N            2006        0
OK         TX_N            2007        0
OK         TX_N            2008        0
OK         TX_N            2009        319.963
OK         TX_N            2010        431.085
OK         TX_N            2011        444.389
OK         TX_N            2012        413.507
OK         TX_N            2013        441.907
OK         TX_N            2014        426.912
OK         TX_N            2015        447.514
OK         TX_N            2016        455.843
OK         TX_N            2017        466.765
OK         TX_N            2018        472.269
OK         TX_N            2019        481.947
OK         TX_N            2020        406.499
OK         TX_N            2021        388.502
OK         TX_N            2022        397.565
OK         TX_W            1990        531.788
OK         TX_W            1994        345.299
OK         TX_W            1995        368.805
OK         TX_W            1996        361.63
OK         TX_W            1997        341.03
OK         TX_W            1998        316.414
OK         TX_W            1999        107.006
OK         TX_W            2000        126.409
OK         TX_W            2001        175.364
OK         TX_W            2002        310.298
OK         TX_W            2003        524.596
OK         TX_W            2004        586.95
OK         TX_W            2005        509.175
OK         TX_W            2006        377.777
OK         TX_W            2007        373.718
OK         TX_W            2008        393.72
OK         TX_W            2009        326.836
OK         TX_W            2010        403.226
OK         TX_W            2011        415.67
OK         TX_W            2012        386.785
OK         TX_W            2013        413.348
OK         TX_W            2014        399.323
OK         TX_W            2015        418.594
OK         TX_W            2016        426.384
OK         TX_W            2017        436.601
OK         TX_W            2018        494.827
OK         TX_W            2019        504.968
OK         TX_W            2020        425.915
OK         TX_W            2021        407.059
OK         TX_W            2022        416.556
TX_E       AR              1990        341.492
TX_E       AR              1991        357.334
TX_E       AR              1992        290.257
TX_E       AR              1993        407.017
TX_E       AR              1994        471.238
TX_E       AR              1995        483.366
TX_E       AR              1996        492.373
TX_E       AR              1997        507.425
TX_E       AR              1998        443.415
TX_E       AR              1999        403.378
TX_E       AR              2000        350.105
TX_E       AR              2001        290.361
TX_E       AR              2002        230.647
TX_E       AR              2003        227.061
TX_E       AR              2004        196.205
TX_E       AR              2005        239.413
TX_E       AR              2006        316.616
TX_E       AR              2007        319.885
TX_E       AR              2008        264.753
TX_E       AR              2009        169.431
TX_E       AR              2010        220.477
TX_E       AR              2011        407.665
TX_E       AR              2012        262.397
TX_E       AR              2013        426.976
TX_E       AR              2014        409.458
TX_E       AR              2015        231.017
TX_E       AR              2016        157.844
TX_E       AR              2017        54.92
TX_E       AR              2018        43.867
TX_E       AR              2019        49.166
TX_E       AR              2020        2.836
TX_E       AR              2021        27.981
TX_E       AR              2022        86.055
TX_E       LA              1990        1681.66
TX_E       LA              1991        1587.3
TX_E       LA              1992        1732.78
TX_E       LA              1993        1696.51
TX_E       LA              1994        1732.44
TX_E       LA              1995        2013.38
TX_E       LA              1996        2174.96
TX_E       LA              1997        1920.33
TX_E       LA              1998        1515.81
TX_E       LA              1999        1426.22
TX_E       LA              2000        1465.93
TX_E       LA              2001        1488.05
TX_E       LA              2002        1532.76
TX_E       LA              2003        1608.78
TX_E       LA              2004        1697.33
TX_E       LA              2005        1903
TX_E       LA              2006        1945.83
TX_E       LA              2007        2547.39
TX_E       LA              2008        3051.97
TX_E       LA              2009        3087.87
TX_E       LA              2010        2825.25
TX_E       LA              2011        2579.54
TX_E       LA              2012        2663.82
TX_E       LA              2013        2407.2
TX_E       LA              2014        2311.94
TX_E       LA              2015        2116.8
TX_E       LA              2016        1746.47
TX_E       LA              2017        1699.25
TX_E       LA              2018        1761.83
TX_E       LA              2019        1861.51
TX_E       LA              2020        1755.76
TX_E       LA              2021        1803.81
TX_E       LA              2022        2587.67
TX_E       TX_E-MX_NE      1996        17.028
TX_E       TX_E-MX_NE      1997        16.272
TX_E       TX_E-MX_NE      1998        8.694
TX_E       TX_E-MX_NE      1999        4.747
TX_E       TX_E-MX_NE      2000        30.298
TX_E       TX_E-MX_NE      2001        65.751
TX_E       TX_E-MX_NE      2002        150.068
TX_E       TX_E-MX_NE      2003        208.371
TX_E       TX_E-MX_NE      2004        235.24
TX_E       TX_E-MX_NE      2005        135.988
TX_E       TX_E-MX_NE      2006        125.714
TX_E       TX_E-MX_NE      2007        85.731
TX_E       TX_E-MX_NE      2008        117.73
TX_E       TX_E-MX_NE      2009        96.522
TX_E       TX_E-MX_NE      2010        150.995
TX_E       TX_E-MX_NE      2011        255.27
TX_E       TX_E-MX_NE      2012        355.09
TX_E       TX_E-MX_NE      2013        382.854
TX_E       TX_E-MX_NE      2014        415.919
TX_E       TX_E-MX_NE      2015        704.926
TX_E       TX_E-MX_NE      2016        980.15
TX_E       TX_E-MX_NE      2017        1163.57
TX_E       TX_E-MX_NE      2018        1249.12
TX_E       TX_E-MX_NE      2019        1391.41
TX_E       TX_E-MX_NE      2020        1468.12
TX_E       TX_E-MX_NE      2021        1466.61
TX_E       TX_E-MX_NE      2022        1364.11
TX_E       TX_E-MX_NE      2023        1438.93
TX_W       NM              1990        610.717
TX_W       NM              1991        557.716
TX_W       NM              1992        278.127
TX_W       NM              1993        47.934
TX_W       NM              1994        20.235
TX_W       NM              1995        10.771
TX_W       NM              1996        4.089
TX_W       NM              1997        4.966
TX_W       NM              1998        4.47
TX_W       NM              1999        5.104
TX_W       NM              2000        6.721
TX_W       NM              2001        75.142
TX_W       NM              2002        3.185
TX_W       NM              2003        3.835
TX_W       NM              2004        4.84
TX_W       NM              2005        10.605
TX_W       NM              2006        11.517
TX_W       NM              2007        2.984
TX_W       NM              2008        173.465
TX_W       NM              2009        125.358
TX_W       NM              2010        36.848
TX_W       NM              2011        44.156
TX_W       NM              2012        143.779
TX_W       NM              2013        177.728
TX_W       NM              2014        308.856
TX_W       NM              2015        316.749
TX_W       NM              2016        256.374
TX_W       NM              2017        228.558
TX_W       NM              2018        365.722
TX_W       NM              2019        497.056
TX_W       NM              2020        488.955
TX_W       NM              2021        292.984
TX_W       NM              2022        213.37
TX_W       OK              1990        249.21
TX_W       OK              1991        239.879
TX_W       OK              1992        446.921
TX_W       OK              1993        420.463
TX_W       OK              1994        448.187
TX_W       OK              1995        696.313
TX_W       OK              1996        741.733
TX_W       OK              1997        739.589
TX_W       OK              1998        598.571
TX_W       OK              1999        539.403
TX_W       OK              2000        515.363
TX_W       OK              2001        454.059
TX_W       OK              2002        485.572
TX_W       OK              2003        765.091
TX_W       OK              2004        808.471
TX_W       OK              2005        848.03
TX_W       OK              2006        600.79
TX_W       OK              2007        557.452
TX_W       OK              2008        270.078
TX_W       OK              2009        431.285
TX_W       OK              2010        712.311
TX_W       OK              2011        869.044
TX_W       OK              2012        835.322
TX_W       OK              2013        860.029
TX_W       OK              2014        836.956
TX_W       OK              2015        701.605
TX_W       OK              2016        692.796
TX_W       OK              2017        730.094
TX_W       OK              2018        886.328
TX_W       OK              2019        926.212
TX_W       OK              2020        735.939
TX_W       OK              2021        521.56
TX_W       OK              2022        610.023
TX_W       TX_W-MX_NE      1996        13.406
TX_W       TX_W-MX_NE      1997        17.89
TX_W       TX_W-MX_NE      1998        38.238
TX_W       TX_W-MX_NE      1999        48.513
TX_W       TX_W-MX_NE      2000        52.97
TX_W       TX_W-MX_NE      2001        43.313
TX_W       TX_W-MX_NE      2002        66.85
TX_W       TX_W-MX_NE      2003        70.304
TX_W       TX_W-MX_NE      2004        74.65
TX_W       TX_W-MX_NE      2005        71.845
TX_W       TX_W-MX_NE      2006        79.594
TX_W       TX_W-MX_NE      2007        93.166
TX_W       TX_W-MX_NE      2008        92.011
TX_W       TX_W-MX_NE      2009        96.393
TX_W       TX_W-MX_NE      2010        94.492
TX_W       TX_W-MX_NE      2011        104.103
TX_W       TX_W-MX_NE      2012        107.823
TX_W       TX_W-MX_NE      2013        114.23
TX_W       TX_W-MX_NE      2014        127.724
TX_W       TX_W-MX_NE      2015        129.397
TX_W       TX_W-MX_NE      2016        149.08
TX_W       TX_W-MX_NE      2017        116.578
TX_W       TX_W-MX_NE      2018        180.259
TX_W       TX_W-MX_NE      2019        218.962
TX_W       TX_W-MX_NE      2020        278.649
TX_W       TX_W-MX_NE      2021        450.606
TX_W       TX_W-MX_NE      2022        514.705
TX_W       TX_W-MX_NE      2023        612.497
;

!First year for which TX regional export/import volumes are avilable.
!Would like to eventually move this over to AIMMS code and have it done programatically.
!TXTradeFirstYear := '2011';

! SYK	7/19/23	 Updating based on Texas pre-processor.
! SYK	7/9/24	 Updating based on Texas pre-processor.
! Historical Export Volumes
! NOTE: These values do not include prices for CNG & small LNG exports
! Units: Bcf
HistoricalExports := data table
                       TX_E-MX_NE    TX_W-MX_NE
(January, 2011)        21.096        9.046
(February, 2011)       20.185        7.262
(March, 2011)          23.574        7.805
(April, 2011)          27.392        7.27
(May, 2011)            23.935        9.339
(June, 2011)           25.462        8.751
(July, 2011)           23.363        8.895
(August, 2011)         18.455        8.878
(September, 2011)      16.462        8.847
(October, 2011)        19.11         9.238
(November, 2011)       16.764        8.912
(December, 2011)       19.469        9.859
(January, 2012)        21.857        9.242
(February, 2012)       20.595        8.988
(March, 2012)          23.839        9.426
(April, 2012)          25.467        8.589
(May, 2012)            30.718        9.192
(June, 2012)           33.937        9.448
(July, 2012)           32.901        9.716
(August, 2012)         33.497        10.055
(September, 2012)      33.554        9.356
(October, 2012)        37.08         8.797
(November, 2012)       29.868        7.569
(December, 2012)       31.781        7.445
(January, 2013)        33.586        9.767
(February, 2013)       30.809        8.919
(March, 2013)          33.678        9.165
(April, 2013)          33.42         9.622
(May, 2013)            37.009        9.803
(June, 2013)           35.006        9.35
(July, 2013)           36.045        8.988
(August, 2013)         35.893        10.361
(September, 2013)      28.562        9.527
(October, 2013)        30.112        9.548
(November, 2013)       28.211        8.789
(December, 2013)       21.824        10.391
(January, 2014)        29.071        10.038
(February, 2014)       30.243        8.702
(March, 2014)          34.933        9.598
(April, 2014)          33.249        10.307
(May, 2014)            36.549        11.103
(June, 2014)           36.712        11.015
(July, 2014)           37.649        11.218
(August, 2014)         35.946        11.405
(September, 2014)      35.266        11.406
(October, 2014)        34.312        10.772
(November, 2014)       33.434        11.903
(December, 2014)       38.551        10.258
(January, 2015)        42.677        10.434
(February, 2015)       41.741        9.481
(March, 2015)          49.817        10.181
(April, 2015)          51.203        9.843
(May, 2015)            58.518        11.377
(June, 2015)           59.23         11.05
(July, 2015)           67.848        11.623
(August, 2015)         66.126        11.583
(September, 2015)      65.319        11.967
(October, 2015)        67.206        10.079
(November, 2015)       63.923        10.708
(December, 2015)       71.316        11.071
(January, 2016)        68.704        11.273
(February, 2016)       77.012        10.423
(March, 2016)          75.708        10.158
(April, 2016)          72.593        13.124
(May, 2016)            80.937        14.401
(June, 2016)           79.886        13.791
(July, 2016)           83.639        13.97
(August, 2016)         91.961        13.323
(September, 2016)      87.927        12.963
(October, 2016)        93.546        14.377
(November, 2016)       90.748        10.403
(December, 2016)       83.577        10.875
(January, 2017)        91.572        10.594
(February, 2017)       87.558        9.141
(March, 2017)          98.96         10.669
(April, 2017)          87.14         10.879
(May, 2017)            98.466        11.324
(June, 2017)           96.123        15.815
(July, 2017)           98.058        9.805
(August, 2017)         99.811        7.837
(September, 2017)      93.787        9.453
(October, 2017)        101.038       11.955
(November, 2017)       103.419       12.78
(December, 2017)       104.027       13.387
(January, 2018)        105.386       13.778
(February, 2018)       96.156        12.954
(March, 2018)          99.922        14.373
(April, 2018)          98.017        13.618
(May, 2018)            104.465       12.538
(June, 2018)           100.32        13.923
(July, 2018)           107.635       16.156
(August, 2018)         110.59        15.814
(September, 2018)      105.485       17.71
(October, 2018)        111.047       18.139
(November, 2018)       104.594       15.016
(December, 2018)       105.084       16.242
(January, 2019)        113.484       18.238
(February, 2019)       100.855       16.49
(March, 2019)          113.316       16.727
(April, 2019)          103.539       16.137
(May, 2019)            115.536       18.618
(June, 2019)           115.446       18.854
(July, 2019)           124.213       17.898
(August, 2019)         120.946       20.676
(September, 2019)      118.847       19.33
(October, 2019)        130.388       19.368
(November, 2019)       120.863       17.679
(December, 2019)       113.984       18.946
(January, 2020)        123.089       19.934
(February, 2020)       116.871       17.295
(March, 2020)          129.569       19.754
(April, 2020)          105.39        17.795
(May, 2020)            108.802       17.965
(June, 2020)           118.895       22.67
(July, 2020)           132.627       24.696
(August, 2020)         132.656       27.175
(September, 2020)      131.159       25.654
(October, 2020)        128.267       32.531
(November, 2020)       120.641       25.55
(December, 2020)       120.158       27.632
(January, 2021)        122.508       33.362
(February, 2021)       100.235       23.132
(March, 2021)          129.887       34.132
(April, 2021)          126.169       37.165
(May, 2021)            132.8         40.619
(June, 2021)           129.575       41.969
(July, 2021)           130.103       42.759
(August, 2021)         128.174       40.235
(September, 2021)      115.701       39.609
(October, 2021)        126.128       41.034
(November, 2021)       113.854       36.347
(December, 2021)       111.476       40.242
(January, 2022)        116.404       41.919
(February, 2022)       107.508       35.288
(March, 2022)          117.475       37.29
(April, 2022)          118.345       44.409
(May, 2022)            119.848       49.7
(June, 2022)           114.806       48.902
(July, 2022)           118.016       50.536
(August, 2022)         114.853       47.656
(September, 2022)      109.131       41.671
(October, 2022)        114.222       40.389
(November, 2022)       109.523       36.341
(December, 2022)       103.979       40.603
(January, 2023)        110.255       42.94
(February, 2023)       99.48         41.172
(March, 2023)          116.935       46.816
(April, 2023)          109.526       47.36
(May, 2023)            123.022       54.318
(June, 2023)           133.253       55.061
(July, 2023)           128.198       60.253
(August, 2023)         131.648       60.736
(September, 2023)      127.631       57.57
(October, 2023)        128.06        53.715
(November, 2023)       116.916       46.186
(December, 2023)       114.01        46.366
(January, 2024)        123.601       46.738
(February, 2024)       110.133       43.908
(March, 2024)          118.065       46.048
(April, 2024)          121.845       52.414
;

! SYK	7/19/23	 Updating based on Texas pre-processor.
! SYK	7/9/24	 Updating based on Texas pre-processor.
! Historical Import Volumes
! NOTE: These values do not include prices for CNG & small LNG exports
! Units: Bcf
HistoricalImports := data table
                       TX_E-MX_NE
(January, 2011)        0.012
(February, 2011)       0.04
(March, 2011)          0.077
(April, 2011)          0.059
(May, 2011)            0.055
(June, 2011)           0.047
(July, 2011)           0.043
(August, 2011)         0.041
(September, 2011)      0.029
(October, 2011)        0.037
(November, 2011)       0.023
(December, 2011)       0.037
(January, 2012)        0.031
(February, 2012)       0.031
(March, 2012)          0.037
(April, 2012)          0.036
(May, 2012)            0.03
(June, 2012)           0.029
(July, 2012)           0.017
(August, 2012)         0.031
(September, 2012)      0.002
(October, 2012)        0.02
(November, 2012)       0.028
(December, 2012)       0.022
(January, 2013)        0.019
(February, 2013)       0.018
(March, 2013)          0.02
(April, 2013)          0.02
(May, 2013)            0.014
(June, 2013)           0.028
(July, 2013)           0.182
(August, 2013)         0.164
(September, 2013)      0.148
(October, 2013)        0.148
(November, 2013)       0.136
(December, 2013)       0.148
(January, 2014)        0.137
(February, 2014)       0.137
(March, 2014)          0.125
(April, 2014)          0.114
(May, 2014)            0.128
(June, 2014)           0.127
(July, 2014)           0.121
(August, 2014)         0.124
(September, 2014)      0.113
(October, 2014)        0.115
(November, 2014)       0.095
(December, 2014)       0.091
(January, 2015)        0.085
(February, 2015)       0.079
(March, 2015)          0.077
(April, 2015)          0.076
(May, 2015)            0.078
(June, 2015)           0.073
(July, 2015)           0.08
(August, 2015)         0.082
(September, 2015)      0.083
(October, 2015)        0.083
(November, 2015)       0.072
(December, 2015)       0.064
(January, 2016)        0.059
(February, 2016)       0.07
(March, 2016)          0.069
(April, 2016)          0.071
(May, 2016)            0.072
(June, 2016)           0.068
(July, 2016)           0.062
(August, 2016)         0.061
(September, 2016)      0.054
(October, 2016)        0.054
(November, 2016)       0.054
(December, 2016)       0.055
(January, 2017)        0.053
(February, 2017)       0.047
(March, 2017)          0.053
(April, 2017)          0.05
(May, 2017)            0.048
(June, 2017)           0.05
(July, 2017)           0.05
(August, 2017)         0.053
(September, 2017)      0.04
(October, 2017)        0.052
(November, 2017)       0.048
(December, 2017)       0.048
(January, 2018)        0.044
(February, 2018)       0.041
(March, 2018)          0.045
(April, 2018)          0.039
(May, 2018)            0.045
(June, 2018)           0.044
(July, 2018)           0.042
(August, 2018)         0.043
(September, 2018)      0.041
(October, 2018)        0.04
(November, 2018)       0.039
(December, 2018)       0.04
(January, 2019)        0.038
(February, 2019)       0.032
(March, 2019)          0.035
(April, 2019)          0.036
(May, 2019)            0.036
(June, 2019)           0.035
(July, 2019)           0.032
(August, 2019)         0.034
(September, 2019)      0.034
(October, 2019)        0.034
(November, 2019)       0.034
(December, 2019)       0.035
(January, 2020)        0.036
(February, 2020)       0.033
(March, 2020)          0.032
(April, 2020)          0.031
(May, 2020)            0.033
(June, 2020)           0.032
(July, 2020)           0.031
(August, 2020)         0.031
(September, 2020)      0.029
(October, 2020)        0.029
(November, 2020)       0.028
(December, 2020)       0.026
(January, 2021)        0.027
(February, 2021)       0.055
(March, 2021)          0.026
(April, 2021)          0.023
(May, 2021)            0.026
(June, 2021)           0.024
(July, 2021)           0.025
(August, 2021)         0.025
(September, 2021)      0.025
(October, 2021)        0.026
(November, 2021)       0.024
(December, 2021)       0.025
(January, 2022)        0.024
(February, 2022)       0.021
(March, 2022)          0.025
(April, 2022)          0.024
(May, 2022)            0.024
(June, 2022)           0.024
(July, 2022)           0.022
(August, 2022)         0.024
(September, 2022)      0.02
(October, 2022)        0.024
(November, 2022)       0.022
(December, 2022)       0.023
(January, 2023)        0.02
(February, 2023)       0.016
(March, 2023)          0.024
(April, 2023)          0.023
(May, 2023)            0.023
(June, 2023)           0.021
(July, 2023)           0.022
(August, 2023)         0.022
(September, 2023)      0.021
(October, 2023)        0.023
(November, 2023)       0.021
(December, 2023)       0.022
(January, 2024)        0.023
(February, 2024)       0.02
(March, 2024)          0.021
(April, 2024)          0.02
;

! SYK	7/19/23	 Updating based on Texas pre-processor.
! SYK	7/9/24	 Updating based on Texas pre-processor.
! NOTE: These values do not include prices for CNG & small LNG exports
! Units: Nominal USD / thousand cubic feet
HistoricalExportsPrice := data table
                       TX_E-MX_NE              TX_W-MX_NE
(January, 2011)        4.51002                 4.52694
(February, 2011)       4.32276                 4.6375
(March, 2011)          3.99519                 4.11457
(April, 2011)          4.3274                  4.50134
(May, 2011)            4.41487                 4.50569
(June, 2011)           4.5553                  4.7311
(July, 2011)           4.5024                  4.68101
(August, 2011)         4.34292                 4.56338
(September, 2011)      3.97348                 4.20588
(October, 2011)        3.70764                 3.87793
(November, 2011)       3.3804                  3.69346
(December, 2011)       3.32507                 3.65493
(January, 2012)        2.93138                 3.3
