Resid	Play	RRC	Reg	Depth	API	Oilvisc	Gasgrav	GOR	NGPL	NGPLET	NGPLPR	NGPLBU	NGPLIS	NGPLPP	HeatVal	CO2cont	H2Scont	N2cont	Sulfur	Patsize	Noilwell	Ngaswell	Ninjwell	Latnum	Latlen	PHI	Pay	PERM	SOI	SOC	SOR	SWI	BOI	VDP	OOIP	flag	acres	Resacc	PROV	Totprod	Totinj	Totconv	Totps	Totpat	lyroil	lyrgas	numacc	OP1	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	OP10	OP11	OP12	OP13	OP14	OP15	OP16	OP17	OP18	OP19	OP20	OP21	OP22	OP23	OP24	OP25	OP26	OP27	OP28	OP29	OP30	OP31	OP32	OP33	OP34	OP35	OP36	OP37	OP38	OP39	OP40	GP1	GP2	GP3	GP4	GP5	GP6	GP7	GP8	GP9	GP10	GP11	GP12	GP13	GP14	GP15	GP16	GP17	GP18	GP19	GP20	GP21	GP22	GP23	GP24	GP25	GP26	GP27	GP28	GP29	GP30	GP31	GP32	GP33	GP34	GP35	GP36	GP37	GP38	GP39	GP40	CO1	CO2	CO3	CO4	CO5	CO6	CO7	CO8	CO9	CO10	CO11	CO12	CO13	CO14	CO15	CO16	CO17	CO18	CO19	CO20	CO21	CO22	CO23	CO24	CO25	CO26	CO27	CO28	CO29	CO30	CO31	CO32	CO33	CO34	CO35	CO36	CO37	CO38	CO39	CO40	WP1	WP2	WP3	WP4	WP5	WP6	WP7	WP8	WP9	WP10	WP11	WP12	WP13	WP14	WP15	WP16	WP17	WP18	WP19	WP20	WP21	WP22	WP23	WP24	WP25	WP26	WP27	WP28	WP29	WP30	WP31	WP32	WP33	WP34	WP35	WP36	WP37	WP38	WP39	WP40	WI1	WI2	WI3	WI4	WI5	WI6	WI7	WI8	WI9	WI10	WI11	WI12	WI13	WI14	WI15	WI16	WI17	WI18	WI19	WI20	WI21	WI22	WI23	WI24	WI25	WI26	WI27	WI28	WI29	WI30	WI31	WI32	WI33	WI34	WI35	WI36	WI37	WI38	WI39	WI40	II1	II2	II3	II4	II5	II6	II7	II8	II9	II10	II11	II12	II13	II14	II15	II16	II17	II18	II19	II20	II21	II22	II23	II24	II25	II26	II27	II28	II29	II30	II31	II32	II33	II34	II35	II36	II37	II38	II39	II40
CGOH6710422	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	0	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	104003.84	10	67	1	0	0	0	529	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.914	0.488	0.314	0.223	0.169	0.133	0.109	0.091	0.077	0.067	0.058	0.052	0.046	0.042	0.038	0.034	0.031	0.029	0.027	0.025	0.023	0.022	0.020	0.019	0.018	0.017	0.016	0.015	0.014	0.014	0.013	0.012	0.012	0.011	0.011	0.010	0.010	0.010	0.009	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6710622	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	2	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	215040	10	67	1	0	0	0	677	0	0	1	0.286	0.170	0.120	0.093	0.076	0.064	0.055	0.048	0.043	0.039	0.035	0.033	0.030	0.028	0.026	0.024	0.023	0.022	0.021	0.020	0.019	0.018	0.017	0.016	0.016	0.015	0.014	0.014	0.013	0.013	0.012	0.011	0.010	0.009	0.008	0.007	0.007	0.006	0.005	0.005	1.924	1.142	0.811	0.627	0.511	0.430	0.371	0.326	0.291	0.262	0.239	0.219	0.202	0.188	0.175	0.164	0.155	0.146	0.138	0.131	0.125	0.119	0.114	0.109	0.105	0.101	0.097	0.093	0.090	0.087	0.081	0.073	0.066	0.060	0.054	0.049	0.044	0.040	0.036	0.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6710722	6772	-1	1	5200	44	0	0	0	0	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	0	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	99804.16	10	67	1	0	0	0	558	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.117	1.929	1.116	0.726	0.510	0.377	0.290	0.230	0.187	0.155	0.130	0.111	0.096	0.083	0.073	0.065	0.058	0.052	0.047	0.042	0.039	0.035	0.032	0.030	0.028	0.026	0.024	0.022	0.021	0.019	0.018	0.017	0.016	0.015	0.014	0.014	0.013	0.012	0.012	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6710822	6772	-1	1	5200	44	0	0	0	0	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	1	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	210944	10	67	1	0	0	0	666	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.809	0.531	0.412	0.343	0.297	0.264	0.239	0.219	0.203	0.189	0.178	0.168	0.159	0.151	0.145	0.139	0.133	0.128	0.124	0.119	0.116	0.112	0.109	0.106	0.103	0.100	0.098	0.095	0.093	0.091	0.085	0.077	0.070	0.063	0.057	0.052	0.047	0.042	0.038	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6711022	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	2	0	0	1	1560	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	145728	10	67	1	0	0	0	41	0	0	1	2.068	0.485	0.114	0.027	0.006	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.280	0.535	0.126	0.030	0.007	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6711122	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	0	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	56819.2	10	67	1	0	0	0	697	0	0	1	2.460	0.851	0.355	0.169	0.089	0.050	0.030	0.019	0.012	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39.674	13.722	5.734	2.732	1.434	0.810	0.486	0.305	0.200	0.135	0.094	0.067	0.049	0.036	0.027	0.021	0.016	0.013	0.010	0.008	0.007	0.005	0.004	0.004	0.003	0.003	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6711422	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	1	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	222720	10	67	1	0	0	0	209	0	0	1	2.622	1.392	0.879	0.613	0.454	0.352	0.282	0.232	0.195	0.166	0.143	0.125	0.111	0.098	0.088	0.080	0.072	0.066	0.060	0.056	0.051	0.048	0.044	0.041	0.039	0.036	0.034	0.032	0.030	0.029	0.026	0.024	0.022	0.020	0.018	0.016	0.015	0.013	0.012	0.011	13.970	7.418	4.685	3.263	2.421	1.878	1.505	1.237	1.037	0.884	0.764	0.668	0.589	0.524	0.470	0.424	0.385	0.351	0.322	0.296	0.274	0.254	0.236	0.220	0.206	0.193	0.182	0.171	0.161	0.153	0.141	0.128	0.115	0.104	0.094	0.086	0.077	0.070	0.063	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6711522	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	0	1	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	134080	10	67	1	0	0	0	177	0	0	1	2.013	1.176	0.822	0.628	0.505	0.421	0.361	0.315	0.278	0.249	0.226	0.206	0.189	0.175	0.162	0.152	0.142	0.134	0.126	0.119	0.113	0.108	0.102	0.098	0.094	0.090	0.086	0.083	0.080	0.077	0.071	0.065	0.059	0.053	0.048	0.043	0.039	0.036	0.032	0.029	10.943	6.395	4.470	3.413	2.747	2.291	1.961	1.710	1.514	1.356	1.227	1.119	1.028	0.950	0.883	0.824	0.772	0.726	0.685	0.648	0.615	0.585	0.557	0.532	0.509	0.487	0.468	0.450	0.433	0.417	0.389	0.352	0.318	0.288	0.261	0.236	0.213	0.193	0.175	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6711622	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	2	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	156623.36	10	67	1	0	0	0	211	0	0	1	1.240	0.557	0.283	0.157	0.093	0.058	0.038	0.026	0.018	0.013	0.010	0.007	0.005	0.004	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.858	6.227	3.159	1.751	1.040	0.651	0.426	0.289	0.202	0.145	0.107	0.080	0.061	0.047	0.037	0.029	0.024	0.019	0.016	0.013	0.011	0.009	0.008	0.006	0.006	0.005	0.004	0.004	0.003	0.003	0.002	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6711722	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	0	0	0	1	2476	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	164448	10	67	1	0	0	0	153	0	0	1	8.668	5.271	3.827	3.018	2.498	2.134	1.865	1.658	1.493	1.359	1.248	1.154	1.073	1.004	0.943	0.889	0.841	0.798	0.760	0.725	0.693	0.664	0.637	0.613	0.590	0.569	0.550	0.532	0.515	0.499	0.466	0.422	0.382	0.345	0.312	0.283	0.256	0.231	0.209	0.190	16.584	10.086	7.322	5.774	4.779	4.083	3.569	3.173	2.857	2.601	2.388	2.208	2.054	1.920	1.803	1.701	1.609	1.527	1.453	1.387	1.326	1.270	1.220	1.173	1.129	1.089	1.052	1.017	0.985	0.954	0.892	0.807	0.730	0.661	0.598	0.541	0.489	0.443	0.401	0.363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6711822	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	0	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	102521.6	10	67	1	0	0	0	1237	0	0	1	2.460	0.851	0.355	0.169	0.089	0.050	0.030	0.019	0.012	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39.674	13.722	5.734	2.732	1.434	0.810	0.486	0.305	0.200	0.135	0.094	0.067	0.049	0.036	0.027	0.021	0.016	0.013	0.010	0.008	0.007	0.005	0.004	0.004	0.003	0.003	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6711922	6772	-1	1	5200	44	0	0	0	0	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	0	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	157858.56	10	67	1	0	0	0	1278	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6712022	6772	-1	1	5200	44	0	0	0	20	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	80	0	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	137354.24	10	67	1	0	0	0	190	0	0	1	0.139	0.087	0.065	0.053	0.045	0.039	0.035	0.032	0.029	0.027	0.025	0.023	0.022	0.021	0.019	0.019	0.018	0.017	0.016	0.016	0.015	0.014	0.014	0.014	0.013	0.013	0.012	0.012	0.012	0.011	0.011	0.011	0.011	0.010	0.010	0.010	0.010	0.009	0.009	0.009	1.232	0.773	0.580	0.470	0.399	0.348	0.310	0.280	0.256	0.236	0.219	0.205	0.193	0.182	0.173	0.164	0.157	0.150	0.144	0.138	0.133	0.128	0.124	0.120	0.116	0.113	0.109	0.106	0.103	0.101	0.098	0.096	0.093	0.091	0.089	0.087	0.085	0.084	0.082	0.080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6715121	6777	-1	1	6750	52	0	0	0	40	0.012	0.505	0.182	0.131	0.169	0	0	0	0	0	116	16	4	0	1	9465	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	5143.296	10	67	1	0	0	0	0	0	0	1	43.172	31.793	23.415	17.246	12.704	9.359	6.895	5.081	3.744	2.759	2.034	1.499	1.105	0.815	0.601	0.443	0.327	0.241	0.178	0.131	0.097	0.071	0.053	0.039	0.029	0.021	0.016	0.012	0.009	0.006	0.005	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.000	0.000	1351.788	995.484	733.163	540.018	397.792	293.051	215.910	159.090	117.234	86.398	63.679	46.938	34.602	25.510	18.809	13.869	10.228	7.543	5.564	4.104	3.028	2.234	1.648	1.216	0.898	0.663	0.489	0.361	0.267	0.197	0.145	0.107	0.079	0.059	0.043	0.032	0.024	0.017	0.013	0.010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGOH6716621	6790	-1	1	7000	52	0	0	0	40	0.6	0.21	0.09	0.04	0.06	0	0	0	0	0	128	84	58	51	1	9292	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	173120	10	67	1	0	0	0	742	0	0	1	2.839	1.200	0.512	0.220	0.096	0.042	0.018	0.008	0.004	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5899.918	2493.376	1063.349	457.539	198.593	86.938	38.378	17.081	7.664	3.466	1.579	0.725	0.335	0.156	0.073	0.035	0.017	0.008	0.004	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.615096	15.305144	6.23252	2.54004	1.036016	0.422904	0.172768	0.07064	0.028904	0.01184	0.004848	0.001992	0.000816	0.000336	0.000136	0.000056	0.000024	0.000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
